Bruker AXS HMP Instrument Tools Complete CSV
FileName,C:\Users\skel2534\Desktop\Sydney Grammar\Jack Glass\JAG XRF Scan 1 Head.pdz
SerialString,
TubeTargetElement,45
NumberOfSpectra,1
SampleID,
AcquisitionDateTime,11/05/2021 11:31:55 AM
TotalElapsedTimeInSeconds,182
AnodeTakeOffAngle,53
SampleIncidenceAngle,45
BeThicknessInMicroMeters,75
SampleTakeOffAngle,65
SpotSizeUsed,-1
XrayVoltageInkV,40,
XrayFilamentCurrentInMicroAmps,3.2,
RawCounts,1589896,
ValidCounts,1203340,
eVPerChannel,20,
StartingKeV,0,
ZeroOffsetInKeV,0,
StartingChannel,0,
NumberOfChannels,2048,
CountsPerSecond,8783.956,
XilinxFirmwareVersion,808,
IlluminationID,,
Filter1ElementAtomicNum,22,
Filter1Thickness,25,
Filter2ElementAtomicNum,13,
Filter2Thickness,300,
Filter3ElementAtomicNum,0,
Filter3Thickness,0,
AcquisitionDateTime,11/05/2021 11:31:55 AM,
LiveTimeInSeconds,146.1689,
DeadTimeInSeconds,34.65,
ResetTimeInSeconds,0.8739995,
DetectorTempInC,-40.5,
AmbientTempInF,94.4,
NosePressureInMilliBars,,
NoseTemperatureInC,,
ActiveTimeInSeconds,181,
PacketTimeInSeconds,181.874,
CommunicationTimeInSeconds,0.1260071,
ElapsedClockTimeInSeconds,182,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount
1,0,16
2,0.02,27
3,0.04,20
4,0.06,14
5,0.08,9
6,0.1,8
7,0.12,6
8,0.14,9
9,0.16,0
10,0.18,1
11,0.2,1
12,0.22,1
13,0.24,1
14,0.26,0
15,0.28,2
16,0.3,0
17,0.32,0
18,0.34,0
19,0.36,0
20,0.38,1
21,0.4,0
22,0.42,1
23,0.44,1
24,0.46,3
25,0.48,5
26,0.5,8
27,0.52,19
28,0.54,20
29,0.56,26
30,0.58,32
31,0.6,24
32,0.62,27
33,0.64,45
34,0.66,46
35,0.68,41
36,0.7,55
37,0.72,48
38,0.74,39
39,0.76,40
40,0.78,42
41,0.8,40
42,0.82,49
43,0.84,47
44,0.86,63
45,0.88,35
46,0.9,41
47,0.92,50
48,0.94,41
49,0.96,56
50,0.98,48
51,1,45
52,1.02,59
53,1.04,55
54,1.06,50
55,1.08,42
56,1.1,55
57,1.12,61
58,1.14,58
59,1.16,48
60,1.18,58
61,1.2,64
62,1.22,61
63,1.24,50
64,1.26,55
65,1.28,57
66,1.3,55
67,1.32,60
68,1.34,53
69,1.36,63
70,1.38,52
71,1.4,60
72,1.42,55
73,1.44,60
74,1.46,61
75,1.48,67
76,1.5,61
77,1.52,53
78,1.54,50
79,1.56,38
80,1.58,47
81,1.6,61
82,1.62,38
83,1.64,49
84,1.66,34
85,1.68,31
86,1.7,30
87,1.72,52
88,1.74,38
89,1.76,41
90,1.78,46
91,1.8,45
92,1.82,43
93,1.84,38
94,1.86,39
95,1.88,38
96,1.9,34
97,1.92,35
98,1.94,42
99,1.96,39
100,1.98,29
101,2,29
102,2.02,27
103,2.04,38
104,2.06,43
105,2.08,32
106,2.1,40
107,2.12,27
108,2.14,28
109,2.16,38
110,2.18,27
111,2.2,39
112,2.22,30
113,2.24,52
114,2.26,57
115,2.28,49
116,2.3,61
117,2.32,75
118,2.34,93
119,2.36,93
120,2.38,94
121,2.4,95
122,2.42,111
123,2.44,88
124,2.46,83
125,2.48,71
126,2.5,92
127,2.52,85
128,2.54,81
129,2.56,108
130,2.58,87
131,2.6,97
132,2.62,82
133,2.64,94
134,2.66,75
135,2.68,72
136,2.7,77
137,2.72,58
138,2.74,36
139,2.76,53
140,2.78,41
141,2.8,37
142,2.82,50
143,2.84,32
144,2.86,36
145,2.88,38
146,2.9,39
147,2.92,43
148,2.94,43
149,2.96,50
150,2.98,22
151,3,42
152,3.02,39
153,3.04,45
154,3.06,30
155,3.08,34
