Bruker AXS HMP Instrument Tools Complete CSV
FileName,C:\Users\skel2534\Desktop\Sydney Grammar\Jack Glass\JAG XRF Scan 3 Heads.pdz
SerialString,
TubeTargetElement,45
NumberOfSpectra,1
SampleID,
AcquisitionDateTime,11/05/2021 11:53:55 AM
TotalElapsedTimeInSeconds,32
AnodeTakeOffAngle,53
SampleIncidenceAngle,45
BeThicknessInMicroMeters,75
SampleTakeOffAngle,65
SpotSizeUsed,-1
XrayVoltageInkV,40,
XrayFilamentCurrentInMicroAmps,3.2,
RawCounts,273549,
ValidCounts,207299,
eVPerChannel,20,
StartingKeV,0,
ZeroOffsetInKeV,0,
StartingChannel,0,
NumberOfChannels,2048,
CountsPerSecond,8824.161,
XilinxFirmwareVersion,808,
IlluminationID,,
Filter1ElementAtomicNum,22,
Filter1Thickness,25,
Filter2ElementAtomicNum,13,
Filter2Thickness,300,
Filter3ElementAtomicNum,0,
Filter3Thickness,0,
AcquisitionDateTime,11/05/2021 11:53:55 AM,
LiveTimeInSeconds,25.005,
DeadTimeInSeconds,5.964,
ResetTimeInSeconds,0.144,
DetectorTempInC,-40.5,
AmbientTempInF,94.4,
NosePressureInMilliBars,,
NoseTemperatureInC,,
ActiveTimeInSeconds,31,
PacketTimeInSeconds,31.144,
CommunicationTimeInSeconds,0.8560009,
ElapsedClockTimeInSeconds,32,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount
1,0,1
2,0.02,3
3,0.04,2
4,0.06,1
5,0.08,2
6,0.1,1
7,0.12,1
8,0.14,0
9,0.16,1
10,0.18,0
11,0.2,1
12,0.22,0
13,0.24,0
14,0.26,0
15,0.28,0
16,0.3,0
17,0.32,0
18,0.34,0
19,0.36,0
20,0.38,0
21,0.4,0
22,0.42,1
23,0.44,1
24,0.46,0
25,0.48,0
26,0.5,2
27,0.52,2
28,0.54,3
29,0.56,3
30,0.58,5
31,0.6,6
32,0.62,5
33,0.64,5
34,0.66,5
35,0.68,6
36,0.7,11
37,0.72,11
38,0.74,8
39,0.76,8
40,0.78,6
41,0.8,9
42,0.82,11
43,0.84,5
44,0.86,5
45,0.88,9
46,0.9,12
47,0.92,6
48,0.94,7
49,0.96,9
50,0.98,8
51,1,13
52,1.02,8
53,1.04,9
54,1.06,3
55,1.08,9
56,1.1,11
57,1.12,5
58,1.14,17
59,1.16,6
60,1.18,5
61,1.2,6
62,1.22,14
63,1.24,13
64,1.26,14
65,1.28,9
66,1.3,6
67,1.32,7
68,1.34,11
69,1.36,9
70,1.38,9
71,1.4,7
72,1.42,9
73,1.44,16
74,1.46,8
75,1.48,17
76,1.5,8
77,1.52,9
78,1.54,14
79,1.56,8
80,1.58,7
81,1.6,7
82,1.62,10
83,1.64,10
84,1.66,8
85,1.68,13
86,1.7,2
87,1.72,10
88,1.74,10
89,1.76,4
90,1.78,8
91,1.8,8
92,1.82,12
93,1.84,8
94,1.86,11
95,1.88,5
96,1.9,6
97,1.92,2
98,1.94,8
99,1.96,5
100,1.98,9
101,2,7
102,2.02,3
103,2.04,12
104,2.06,6
105,2.08,11
106,2.1,6
107,2.12,5
108,2.14,4
109,2.16,3
110,2.18,8
111,2.2,9
112,2.22,3
113,2.24,4
114,2.26,7
115,2.28,6
116,2.3,7
117,2.32,7
118,2.34,11
119,2.36,11
120,2.38,14
121,2.4,7
122,2.42,11
123,2.44,9
124,2.46,12
125,2.48,10
126,2.5,6
127,2.52,13
128,2.54,16
129,2.56,9
130,2.58,19
131,2.6,15
132,2.62,17
133,2.64,11
134,2.66,11
135,2.68,9
136,2.7,19
137,2.72,13
138,2.74,8
139,2.76,5
140,2.78,7
141,2.8,8
142,2.82,7
143,2.84,3
144,2.86,4
145,2.88,3
146,2.9,5
147,2.92,12
148,2.94,8
149,2.96,13
150,2.98,7
151,3,8
152,3.02,4
153,3.04,10
154,3.06,4
155,3.08,3
156,3.1,4
