Bruker AXS HMP Instrument Tools Complete CSV
FileName,C:\Users\skel2534\Desktop\Sydney Grammar\Jack Glass\JAG XRF Scan 3 Tails.pdz
SerialString,
TubeTargetElement,45
NumberOfSpectra,1
SampleID,
AcquisitionDateTime,11/05/2021 11:52:53 AM
TotalElapsedTimeInSeconds,31
AnodeTakeOffAngle,53
SampleIncidenceAngle,45
BeThicknessInMicroMeters,75
SampleTakeOffAngle,65
SpotSizeUsed,-1
XrayVoltageInkV,40,
XrayFilamentCurrentInMicroAmps,3.2,
RawCounts,245761,
ValidCounts,189243,
eVPerChannel,20,
StartingKeV,0,
ZeroOffsetInKeV,0,
StartingChannel,0,
NumberOfChannels,2048,
CountsPerSecond,8192.033,
XilinxFirmwareVersion,808,
IlluminationID,,
Filter1ElementAtomicNum,22,
Filter1Thickness,25,
Filter2ElementAtomicNum,13,
Filter2Thickness,300,
Filter3ElementAtomicNum,0,
Filter3Thickness,0,
AcquisitionDateTime,11/05/2021 11:52:53 AM,
LiveTimeInSeconds,24.583,
DeadTimeInSeconds,5.386999,
ResetTimeInSeconds,0.12,
DetectorTempInC,-40.5,
AmbientTempInF,94.4,
NosePressureInMilliBars,,
NoseTemperatureInC,,
ActiveTimeInSeconds,30,
PacketTimeInSeconds,30.12,
CommunicationTimeInSeconds,0.8799992,
ElapsedClockTimeInSeconds,31,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount
1,0,6
2,0.02,6
3,0.04,6
4,0.06,6
5,0.08,4
6,0.1,2
7,0.12,2
8,0.14,2
9,0.16,0
10,0.18,1
11,0.2,0
12,0.22,0
13,0.24,1
14,0.26,1
15,0.28,0
16,0.3,0
17,0.32,0
18,0.34,0
19,0.36,0
20,0.38,1
21,0.4,1
22,0.42,1
23,0.44,1
24,0.46,0
25,0.48,0
26,0.5,2
27,0.52,1
28,0.54,2
29,0.56,2
30,0.58,1
31,0.6,10
32,0.62,2
33,0.64,3
34,0.66,5
35,0.68,4
36,0.7,5
37,0.72,6
38,0.74,2
39,0.76,5
40,0.78,5
41,0.8,12
42,0.82,5
43,0.84,10
44,0.86,9
45,0.88,7
46,0.9,11
47,0.92,8
48,0.94,10
49,0.96,7
50,0.98,12
51,1,6
52,1.02,9
53,1.04,12
54,1.06,5
55,1.08,10
56,1.1,4
57,1.12,7
58,1.14,7
59,1.16,9
60,1.18,13
61,1.2,11
62,1.22,7
63,1.24,8
64,1.26,16
65,1.28,6
66,1.3,7
67,1.32,8
68,1.34,6
69,1.36,8
70,1.38,13
71,1.4,15
72,1.42,4
73,1.44,12
74,1.46,11
75,1.48,9
76,1.5,8
77,1.52,8
78,1.54,4
79,1.56,9
80,1.58,10
81,1.6,6
82,1.62,7
83,1.64,9
84,1.66,7
85,1.68,9
86,1.7,10
87,1.72,8
88,1.74,7
89,1.76,8
90,1.78,5
91,1.8,7
92,1.82,7
93,1.84,6
94,1.86,16
95,1.88,6
96,1.9,6
97,1.92,8
98,1.94,10
99,1.96,13
100,1.98,4
101,2,5
102,2.02,7
103,2.04,10
104,2.06,6
105,2.08,6
106,2.1,6
107,2.12,4
108,2.14,5
109,2.16,2
110,2.18,7
111,2.2,7
112,2.22,7
113,2.24,12
114,2.26,7
115,2.28,4
116,2.3,8
117,2.32,12
118,2.34,17
119,2.36,12
120,2.38,13
121,2.4,10
122,2.42,9
123,2.44,13
124,2.46,9
125,2.48,10
126,2.5,8
127,2.52,9
128,2.54,9
129,2.56,8
130,2.58,15
131,2.6,14
132,2.62,13
133,2.64,14
134,2.66,12
135,2.68,7
136,2.7,13
137,2.72,6
138,2.74,10
139,2.76,6
140,2.78,7
141,2.8,1
142,2.82,3
143,2.84,8
144,2.86,5
145,2.88,7
146,2.9,2
147,2.92,8
148,2.94,8
149,2.96,9
150,2.98,7
151,3,8
152,3.02,5
153,3.04,8
154,3.06,7
155,3.08,3
156,3.1,4
