Bruker AXS HMP Instrument Tools Complete CSV
FileName,C:\Users\skel2534\Desktop\Sydney Grammar\Jack Glass\XRF Scan 2 Head.pdz
SerialString,
TubeTargetElement,45
NumberOfSpectra,1
SampleID,
AcquisitionDateTime,11/05/2021 11:51:36 AM
TotalElapsedTimeInSeconds,31
AnodeTakeOffAngle,53
SampleIncidenceAngle,45
BeThicknessInMicroMeters,75
SampleTakeOffAngle,65
SpotSizeUsed,-1
XrayVoltageInkV,40,
XrayFilamentCurrentInMicroAmps,3.2,
RawCounts,268329,
ValidCounts,202388,
eVPerChannel,20,
StartingKeV,0,
ZeroOffsetInKeV,0,
StartingChannel,0,
NumberOfChannels,2048,
CountsPerSecond,8944.3,
XilinxFirmwareVersion,808,
IlluminationID,,
Filter1ElementAtomicNum,22,
Filter1Thickness,25,
Filter2ElementAtomicNum,13,
Filter2Thickness,300,
Filter3ElementAtomicNum,0,
Filter3Thickness,0,
AcquisitionDateTime,11/05/2021 11:51:36 AM,
LiveTimeInSeconds,24.13,
DeadTimeInSeconds,5.840001,
ResetTimeInSeconds,0.142,
DetectorTempInC,-40.5,
AmbientTempInF,94.4,
NosePressureInMilliBars,,
NoseTemperatureInC,,
ActiveTimeInSeconds,30,
PacketTimeInSeconds,30.142,
CommunicationTimeInSeconds,0.8579998,
ElapsedClockTimeInSeconds,31,
Spectrum:ChannelNumber,ChannelStartInKeV,ChannelCount
1,0,7
2,0.02,5
3,0.04,1
4,0.06,4
5,0.08,6
6,0.1,0
7,0.12,2
8,0.14,1
9,0.16,1
10,0.18,1
11,0.2,0
12,0.22,0
13,0.24,0
14,0.26,0
15,0.28,0
16,0.3,0
17,0.32,0
18,0.34,0
19,0.36,0
20,0.38,0
21,0.4,0
22,0.42,0
23,0.44,0
24,0.46,0
25,0.48,1
26,0.5,0
27,0.52,1
28,0.54,4
29,0.56,2
30,0.58,3
31,0.6,4
32,0.62,6
33,0.64,6
34,0.66,2
35,0.68,3
36,0.7,7
37,0.72,10
38,0.74,4
39,0.76,11
40,0.78,9
41,0.8,9
42,0.82,4
43,0.84,7
44,0.86,7
45,0.88,9
46,0.9,6
47,0.92,11
48,0.94,12
49,0.96,13
50,0.98,6
51,1,10
52,1.02,9
53,1.04,11
54,1.06,7
55,1.08,10
56,1.1,6
57,1.12,10
58,1.14,7
59,1.16,7
60,1.18,4
61,1.2,8
62,1.22,7
63,1.24,12
64,1.26,4
65,1.28,7
66,1.3,9
67,1.32,6
68,1.34,13
69,1.36,10
70,1.38,12
71,1.4,14
72,1.42,9
73,1.44,6
74,1.46,6
75,1.48,7
76,1.5,11
77,1.52,10
78,1.54,12
79,1.56,8
80,1.58,8
81,1.6,7
82,1.62,4
83,1.64,11
84,1.66,7
85,1.68,8
86,1.7,2
87,1.72,5
88,1.74,9
89,1.76,8
90,1.78,7
91,1.8,8
92,1.82,11
93,1.84,5
94,1.86,10
95,1.88,11
96,1.9,5
97,1.92,2
98,1.94,4
99,1.96,7
100,1.98,6
101,2,2
102,2.02,7
103,2.04,6
104,2.06,5
105,2.08,6
106,2.1,3
107,2.12,2
108,2.14,2
109,2.16,12
110,2.18,8
111,2.2,4
112,2.22,8
113,2.24,7
114,2.26,11
115,2.28,7
116,2.3,9
117,2.32,8
118,2.34,9
119,2.36,14
120,2.38,14
121,2.4,17
122,2.42,18
123,2.44,19
124,2.46,12
125,2.48,17
126,2.5,17
127,2.52,15
128,2.54,14
129,2.56,15
130,2.58,11
131,2.6,14
132,2.62,16
133,2.64,15
134,2.66,21
135,2.68,15
136,2.7,9
137,2.72,12
138,2.74,5
139,2.76,9
140,2.78,6
141,2.8,8
142,2.82,5
143,2.84,5
144,2.86,5
145,2.88,4
146,2.9,8
147,2.92,7
148,2.94,6
149,2.96,11
150,2.98,2
151,3,3
152,3.02,7
153,3.04,6
154,3.06,7
155,3.08,6
156,3.1,4
